,Upvotes,Tags,Setup,Punchline,Joke,Setup-Profanity,Punchline-Profanity,Profanity,Max-Profanity,Profanity-Tag
23453,1,,Why were all Roman buildings made of stone?,They crucified the carpenter.,Why were all Roman buildings made of stone? They crucified the carpenter.,0.026335191913294913,0.0363997148316473,0.026335191913294913,0.0363997148316473,punchline
2876,73,,Why was the math book sad?,It had too many problems.,Why was the math book sad? It had too many problems.,0.03322624701169945,0.04731484296554254,0.0359007859359803,0.04731484296554254,punchline
6210,22,,Why was the math book sad?,It had too many problems.,Why was the math book sad? It had too many problems.,0.03322624701169945,0.04731484296554254,0.0359007859359803,0.04731484296554254,punchline
1043,287,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
2799,76,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
3091,66,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
3884,47,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
5184,30,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
8118,14,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
10887,8,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
34497,0,,Why was the guitar teacher arrested?,For fingering a minor.,Why was the guitar teacher arrested? For fingering a minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
1813,138,,Why was the guitar teacher arrested?,For fingering A minor.,Why was the guitar teacher arrested? For fingering A minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
2710,80,,Why was the guitar teacher arrested?,For fingering A minor.,Why was the guitar teacher arrested? For fingering A minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
4971,32,,Why was the guitar teacher arrested?,For fingering A minor.,Why was the guitar teacher arrested? For fingering A minor.,0.005997694633401287,0.037532157421694655,0.007172052723578261,0.037532157421694655,punchline
5183,30,,Why was the Adobe Acrobat document arrested?,It was a PDF file.,Why was the Adobe Acrobat document arrested? It was a PDF file.,0.002100429987644612,0.012569609165912838,0.0019387532525876733,0.012569609165912838,punchline
15333,4,,Why was the Adobe Acrobat document arrested?,It was a PDF file.,Why was the Adobe Acrobat document arrested? It was a PDF file.,0.002100429987644612,0.012569609165912838,0.0019387532525876733,0.012569609165912838,punchline
3883,47,,Why was the 4 year old African kid crying?,He was having a mid-life crisis.,Why was the 4 year old African kid crying? He was having a mid-life crisis.,0.12213618963776136,0.06595293931704513,0.11781486005297954,0.12213618963776136,setup
11701,7,,Why was the 4 year old African kid crying?,He was having a mid-life crisis.,Why was the 4 year old African kid crying? He was having a mid-life crisis.,0.12213618963776136,0.06595293931704513,0.11781486005297954,0.12213618963776136,setup
510,1264,,Why was six afraid of seven?,Because seven was black.,Why was six afraid of seven? Because seven was black.,0.011653655918295402,0.05865356957122207,0.024852143237844855,0.05865356957122207,punchline
34428,0,,Why was six afraid of seven?,Because seven was black.,Why was six afraid of seven? Because seven was black.,0.011653655918295402,0.05865356957122207,0.024852143237844855,0.05865356957122207,punchline
4319,40,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
11698,7,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
12666,6,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
23376,1,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34421,0,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34425,0,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34427,0,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34430,0,,Why was six afraid of seven?,Because seven was a registered six offender.,Why was six afraid of seven? Because seven was a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
9260,11,,Why was six afraid of seven?,Because seven was a registered six offender,Why was six afraid of seven? Because seven was a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
10881,8,,Why was six afraid of seven?,Because seven was a registered six offender,Why was six afraid of seven? Because seven was a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
12667,6,,Why was six afraid of seven?,Because seven was a registered six offender,Why was six afraid of seven? Because seven was a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
15331,4,,Why was six afraid of seven?,Because seven was a registered six offender,Why was six afraid of seven? Because seven was a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
17206,3,,Why was six afraid of seven?,Because seven was a registered six offender,Why was six afraid of seven? Because seven was a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
9709,10,,Why was six afraid of seven?,Because seven is a registered six offender.,Why was six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
12664,6,,Why was six afraid of seven?,Because seven is a registered six offender.,Why was six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34431,0,,Why was six afraid of seven?,Because seven is a registered six offender.,Why was six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34347,0,,Why was 6 afraid of 7?,Because 7 was a registered six offender.,Why was 6 afraid of 7? Because 7 was a registered six offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
34355,0,,Why was 6 afraid of 7?,Because 7 was a registered six offender.,Why was 6 afraid of 7? Because 7 was a registered six offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
3090,66,,Why was 6 afraid of 7?,Because 7 was a registered 6 offender.,Why was 6 afraid of 7? Because 7 was a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
5509,27,,Why was 6 afraid of 7?,Because 7 was a registered 6 offender.,Why was 6 afraid of 7? Because 7 was a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
5073,31,,Why was 6 afraid of 7?,Because 7 is a registered 6 offender,Why was 6 afraid of 7? Because 7 is a registered 6 offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
13853,5,,Why was 6 afraid of 7?,Because 7 is a registered 6 offender,Why was 6 afraid of 7? Because 7 is a registered 6 offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
34336,0,,Why was 6 afraid of 7?,Because 7 8 9,Why was 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
34344,0,,Why was 6 afraid of 7?,Because 7 8 9,Why was 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
34349,0,,Why was 6 afraid of 7?,Because 7 8 9,Why was 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
34353,0,,Why was 6 afraid of 7?,Because 7 8 9,Why was 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
1976,122,,Why shouldn't you trust an atom?,Because they make up everything.,Why shouldn't you trust an atom? Because they make up everything.,0.01218099652368915,0.0465512924518655,0.013615466315382959,0.0465512924518655,punchline
3119,65,,Why shouldn't you trust an atom?,Because they make up everything.,Why shouldn't you trust an atom? Because they make up everything.,0.01218099652368915,0.0465512924518655,0.013615466315382959,0.0465512924518655,punchline
400,460,<clean>,Why should you never date a tennis player?,Because love means nothing to them.,Why should you never date a tennis player? Because love means nothing to them.,0.03296787312805348,0.04502197185112148,0.036923334168107246,0.04502197185112148,punchline
6208,22,,Why should you never date a tennis player?,Because love means nothing to them.,Why should you never date a tennis player? Because love means nothing to them.,0.03296787312805348,0.04502197185112148,0.036923334168107246,0.04502197185112148,punchline
7488,16,,Why should you never date a tennis player?,Because love means nothing to them.,Why should you never date a tennis player? Because love means nothing to them.,0.03296787312805348,0.04502197185112148,0.036923334168107246,0.04502197185112148,punchline
8113,14,,Why should you never date a tennis player?,Because love means nothing to them.,Why should you never date a tennis player? Because love means nothing to them.,0.03296787312805348,0.04502197185112148,0.036923334168107246,0.04502197185112148,punchline
6730,19,,Why isn't Helen Keller a good driver?,Because she's dead.,Why isn't Helen Keller a good driver? Because she's dead.,0.005151191301888206,0.2336605681917357,0.01396667613069814,0.2336605681917357,punchline
23318,1,,Why isn't Helen Keller a good driver?,Because she's dead.,Why isn't Helen Keller a good driver? Because she's dead.,0.005151191301888206,0.2336605681917357,0.01396667613069814,0.2336605681917357,punchline
1834,136,,Why is your nose in the middle of your face?,Because it's the scenter.,Why is your nose in the middle of your face? Because it's the scenter.,0.49422938163112706,0.0363997148316473,0.49422938163112706,0.49422938163112706,full
7487,16,,Why is your nose in the middle of your face?,Because it's the scenter.,Why is your nose in the middle of your face? Because it's the scenter.,0.49422938163112706,0.0363997148316473,0.49422938163112706,0.49422938163112706,full
1660,154,,Why is the ocean so salty?,Because the land never waves back.,Why is the ocean so salty? Because the land never waves back.,0.012474231252362699,0.032819440250794064,0.012341605243544152,0.032819440250794064,punchline
3010,69,,Why is the ocean so salty?,Because the land never waves back.,Why is the ocean so salty? Because the land never waves back.,0.012474231252362699,0.032819440250794064,0.012341605243544152,0.032819440250794064,punchline
23293,1,,Why is six afraid of seven?,Because seven is a six offender.,Why is six afraid of seven? Because seven is a six offender.,0.011653655918295402,0.04346743470797499,0.022084719510221357,0.04346743470797499,punchline
34147,0,,Why is six afraid of seven?,Because seven is a six offender.,Why is six afraid of seven? Because seven is a six offender.,0.011653655918295402,0.04346743470797499,0.022084719510221357,0.04346743470797499,punchline
2364,95,,Why is six afraid of seven?,Because seven is a registered six offender.,Why is six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
3336,59,,Why is six afraid of seven?,Because seven is a registered six offender.,Why is six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
17167,3,,Why is six afraid of seven?,Because seven is a registered six offender.,Why is six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34152,0,,Why is six afraid of seven?,Because seven is a registered six offender.,Why is six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
34153,0,,Why is six afraid of seven?,Because seven is a registered six offender.,Why is six afraid of seven? Because seven is a registered six offender.,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
12646,6,,Why is six afraid of seven?,Because seven is a registered six offender,Why is six afraid of seven? Because seven is a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
23292,1,,Why is six afraid of seven?,Because seven is a registered six offender,Why is six afraid of seven? Because seven is a registered six offender,0.011653655918295402,0.01890180397393825,0.012891794741642504,0.01890180397393825,punchline
5899,24,,Why is gravity the weakest of the 4 fundamental forces?,Because it doesn't even lift.,Why is gravity the weakest of the 4 fundamental forces? Because it doesn't even lift.,0.18764403007844727,0.07555753031164394,0.18790716934774676,0.18790716934774676,full
34012,0,,Why is gravity the weakest of the 4 fundamental forces?,Because it doesn't even lift.,Why is gravity the weakest of the 4 fundamental forces? Because it doesn't even lift.,0.18764403007844727,0.07555753031164394,0.18790716934774676,0.18790716934774676,full
1471,179,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
1974,122,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
6545,20,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
9698,10,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
11668,7,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
17139,3,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
19777,2,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
19778,2,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
23238,1,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
23239,1,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
23240,1,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
23241,1,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
33957,0,,Why is air a lot like sex?,Because it's no big deal unless you're not getting any.,Why is air a lot like sex? Because it's no big deal unless you're not getting any.,0.5956102100664399,0.01994544395042342,0.25090300895076295,0.5956102100664399,setup
5180,30,,Why is Santa's sack so big?,He only comes once a year.,Why is Santa's sack so big? He only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
13834,5,,Why is Santa's sack so big?,He only comes once a year.,Why is Santa's sack so big? He only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
15305,4,,Why is Santa's sack so big?,He only comes once a year.,Why is Santa's sack so big? He only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
2487,89,,Why is Santa's sack so big?,Because he only comes once a year.,Why is Santa's sack so big? Because he only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
4061,44,,Why is Santa's sack so big?,Because he only comes once a year.,Why is Santa's sack so big? Because he only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
34138,0,,Why is Santa's sack so big?,Because he only comes once a year.,Why is Santa's sack so big? Because he only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
34139,0,,Why is Santa's sack so big?,Because he only comes once a year.,Why is Santa's sack so big? Because he only comes once a year.,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
4870,33,,Why is Santa's sack so big?,Because he only comes once a year!,Why is Santa's sack so big? Because he only comes once a year!,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
23289,1,,Why is Santa's sack so big?,Because he only comes once a year!,Why is Santa's sack so big? Because he only comes once a year!,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
3738,50,,Why is Santa's sack so big?,Because he only comes once a year,Why is Santa's sack so big? Because he only comes once a year,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
23288,1,,Why is Santa's sack so big?,Because he only comes once a year,Why is Santa's sack so big? Because he only comes once a year,0.33547681360520604,0.02572637249568662,0.23258705131475055,0.33547681360520604,setup
7209,17,,Why is Peter Pan always flying?,Because he Neverlands.,Why is Peter Pan always flying? Because he Neverlands.,0.027530969812857364,0.0363997148316473,0.027530969812857364,0.0363997148316473,punchline
10230,9,,Why is Peter Pan always flying?,Because he Neverlands.,Why is Peter Pan always flying? Because he Neverlands.,0.027530969812857364,0.0363997148316473,0.027530969812857364,0.0363997148316473,punchline
19801,2,,Why is Peter Pan always flying?,Because he Neverlands.,Why is Peter Pan always flying? Because he Neverlands.,0.027530969812857364,0.0363997148316473,0.027530969812857364,0.0363997148316473,punchline
3824,48,,Why is Jesus bad at hockey?,He always gets nailed to the boards.,Why is Jesus bad at hockey? He always gets nailed to the boards.,0.22844031724454536,0.04141888125418823,0.15811901714972795,0.22844031724454536,setup
6546,20,,Why is Jesus bad at hockey?,He always gets nailed to the boards.,Why is Jesus bad at hockey? He always gets nailed to the boards.,0.22844031724454536,0.04141888125418823,0.15811901714972795,0.22844031724454536,setup
8109,14,,Why is Hillary Clinton running for President?,Because it's easier than running from Law Enforcement.,Why is Hillary Clinton running for President? Because it's easier than running from Law Enforcement.,0.023950773029649087,0.015233949398517983,0.016129258971307535,0.023950773029649087,setup
10227,9,,Why is Hillary Clinton running for President?,Because it's easier than running from Law Enforcement.,Why is Hillary Clinton running for President? Because it's easier than running from Law Enforcement.,0.023950773029649087,0.015233949398517983,0.016129258971307535,0.023950773029649087,setup
33934,0,,Why is 77 better than 69?,You get ate more.,Why is 77 better than 69? You get ate more.,0.01237726236918344,0.07876921050571233,0.025240542921593046,0.07876921050571233,punchline
33935,0,,Why is 77 better than 69?,You get ate more.,Why is 77 better than 69? You get ate more.,0.01237726236918344,0.07876921050571233,0.025240542921593046,0.07876921050571233,punchline
7813,15,,Why is 6 afraid of 7?,Because 7 is a registered six offender,Why is 6 afraid of 7? Because 7 is a registered six offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
33911,0,,Why is 6 afraid of 7?,Because 7 is a registered six offender,Why is 6 afraid of 7? Because 7 is a registered six offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
1300,208,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender.,Why is 6 afraid of 7? Because 7 is a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
1930,126,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender.,Why is 6 afraid of 7? Because 7 is a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
5399,28,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender.,Why is 6 afraid of 7? Because 7 is a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
7480,16,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender.,Why is 6 afraid of 7? Because 7 is a registered 6 offender.,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
3037,68,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender,Why is 6 afraid of 7? Because 7 is a registered 6 offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
23228,1,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender,Why is 6 afraid of 7? Because 7 is a registered 6 offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
33928,0,,Why is 6 afraid of 7?,Because 7 is a registered 6 offender,Why is 6 afraid of 7? Because 7 is a registered 6 offender,0.04388868618308202,0.04773125314797958,0.049851326211924986,0.049851326211924986,full
33914,0,,Why is 6 afraid of 7?,Because 7 8 9,Why is 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
33917,0,,Why is 6 afraid of 7?,Because 7 8 9,Why is 6 afraid of 7? Because 7 8 9,0.04388868618308202,0.0363997148316473,0.04388868618308202,0.04388868618308202,full
1948,124,,Why don't you ever see elephants hiding in trees?,Because they're really good at it.,Why don't you ever see elephants hiding in trees? Because they're really good at it.,0.10044232931658455,0.0163822175839997,0.06634129721501876,0.10044232931658455,setup
2486,89,,Why don't you ever see elephants hiding in trees?,Because they're really good at it.,Why don't you ever see elephants hiding in trees? Because they're really good at it.,0.10044232931658455,0.0163822175839997,0.06634129721501876,0.10044232931658455,setup
2042,116,,Why don't orphans play baseball?,They don't know where home is.,Why don't orphans play baseball? They don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
5754,25,,Why don't orphans play baseball?,They don't know where home is.,Why don't orphans play baseball? They don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
19755,2,,Why don't orphans play baseball?,They don't know where home is.,Why don't orphans play baseball? They don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
2314,98,,Why don't orphans play baseball?,Because they don't know where home is.,Why don't orphans play baseball? Because they don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
11656,7,,Why don't orphans play baseball?,Because they don't know where home is.,Why don't orphans play baseball? Because they don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
13812,5,,Why don't orphans play baseball?,Because they don't know where home is.,Why don't orphans play baseball? Because they don't know where home is.,0.05503214509174638,0.051388903095007175,0.058468638248534786,0.058468638248534786,full
900,348,,Why don't black people go on cruises?,They're not falling for that one again,Why don't black people go on cruises? They're not falling for that one again,0.2827344154159439,0.029362493072318124,0.13770075414412603,0.2827344154159439,setup
1929,126,,Why don't black people go on cruises?,They're not falling for that one again,Why don't black people go on cruises? They're not falling for that one again,0.2827344154159439,0.029362493072318124,0.13770075414412603,0.2827344154159439,setup
33716,0,,Why doesn't Ed have a girlfriend?,Because Sheeran.,Why doesn't Ed have a girlfriend? Because Sheeran.,0.14556554348692421,0.0363997148316473,0.14556554348692421,0.14556554348692421,full
33717,0,,Why doesn't Ed have a girlfriend?,Because Sheeran.,Why doesn't Ed have a girlfriend? Because Sheeran.,0.14556554348692421,0.0363997148316473,0.14556554348692421,0.14556554348692421,full
1607,161,,Why doesn't Barbie have any kids?,Because Ken came in another box.,Why doesn't Barbie have any kids? Because Ken came in another box.,0.04106856465714583,0.006011923579235087,0.007482954323349637,0.04106856465714583,setup
6196,22,,Why doesn't Barbie have any kids?,Because Ken came in another box.,Why doesn't Barbie have any kids? Because Ken came in another box.,0.04106856465714583,0.006011923579235087,0.007482954323349637,0.04106856465714583,setup
3880,47,,Why does Waldo wear stripes?,He doesn't want to be spotted.,Why does Waldo wear stripes? He doesn't want to be spotted.,0.16060567131898,0.014203256086544292,0.045371749862544726,0.16060567131898,setup
9241,11,,Why does Waldo wear stripes?,He doesn't want to be spotted.,Why does Waldo wear stripes? He doesn't want to be spotted.,0.16060567131898,0.014203256086544292,0.045371749862544726,0.16060567131898,setup
1811,138,,Why does Waldo wear stripes?,Because he doesn't want to be spotted,Why does Waldo wear stripes? Because he doesn't want to be spotted,0.16060567131898,0.014203256086544292,0.045371749862544726,0.16060567131898,setup
2797,76,,Why does Waldo wear stripes?,Because he doesn't want to be spotted,Why does Waldo wear stripes? Because he doesn't want to be spotted,0.16060567131898,0.014203256086544292,0.045371749862544726,0.16060567131898,setup
7200,17,,Why does Santa have such a big sack?,He only comes once a year.,Why does Santa have such a big sack? He only comes once a year.,0.2528215410033246,0.02572637249568662,0.17937933065483658,0.2528215410033246,setup
10847,8,,Why does Santa have such a big sack?,He only comes once a year.,Why does Santa have such a big sack? He only comes once a year.,0.2528215410033246,0.02572637249568662,0.17937933065483658,0.2528215410033246,setup
2929,71,,Why does Santa have such a big sack?,Because he only comes once a year.,Why does Santa have such a big sack? Because he only comes once a year.,0.2528215410033246,0.02572637249568662,0.17937933065483658,0.2528215410033246,setup
